ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort,,,,,,,,,,,,,,,,
127437,Audio,Hylopezus paraensis,Snethlage's Antpitta,Alouatta belzebul -- red-handed howler monkey, Guaruba guaruba -- Golden Parakeet, Phlegopsis nigromaculata -- Black-spotted Bare-eye, Pionites leucogaster -- White-bellied Parrot,,"Marantz, Curtis A",2000,10,4,1720,Brazil,Pará,,Floresta Nacional de Caxiuana, Estacao Cientifica Ferreira Penna,-1.7375,-51.4555556,,Adult Unknown Sex (1),advertise, dusk song, song,Natural,Certain,Sound,,,2,0,170,NAGRA 4.2,Sennheiser MKH 20,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: Unseen bird was 15 meters away and ca. 1 meter up in very dense undergrowth of good, terra firme forest near intersection of Trails L and 200 [meters North]; a second bird was singing in the distance; sun still in trees; almost completely clear, calm, 86&iexcl; F; HHb filters off.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">paraensis</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67580,,,,,,,,,
127371,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),Dendrocolaptes certhia -- Amazonian Barred-Woodcreeper, Dendrocolaptes picumnus -- Black-banded Woodcreeper, Pachysylvia muscicapina -- Buff-cheeked Greenlet, Pachyramphus marginatus -- Black-capped Becard, Euchrepomis spodioptila -- Ash-winged Antwren, Thamnomanes ardesiacus -- Dusky-throated Antshrike, Thamnomanes caesius -- Cinereous Antshrike, Thamnophilus murinus -- Mouse-colored Antshrike, Trogon rufus -- Black-throated Trogon, Xiphorhynchus pardalotus -- Chestnut-rumped Woodcreeper,,"Marantz, Curtis A",2000,8,22,559,Brazil,Amazonas,,"30.0 km W of BR-174 on ZF-2, trail to LBA tower",-2.5944444,-60.2091667,,Adult Unknown Sex (1),advertise, dawn song, song,Natural,Certain,Sound,,,2,0,165,HHB PORTADAT PDR 1000,Sennheiser MKH 20,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rainforest, Evergreen Forest,,," NOTES: Unseen bird was 60-70 meters away in good terra firme forest, 300-400 meters out the trail from the road towards the tower; mixed-species flock nearby; bird from previous recording (#00-RDAT01-01) can be heard in background; just as it was getting light [a 1/2 moon almost directly overhead; clear, calm, mid-70s].",,,Aves,Passeriformes,Grallariidae,67560,,,,
127445,Audio,Hylopezus paraensis,Snethlage's Antpitta,Alouatta belzebul -- red-handed howler monkey, Crypturellus variegatus -- Variegated Tinamou, Formicarius colma -- Rufous-capped Antthrush, Pyrilia vulturina -- Vulturine Parrot, Hylopezus paraensis -- Snethlage's Antpitta, Lipaugus vociferans -- Screaming Piha, Piculus sp. -- Piculus sp., Ramphastos tucanus -- White-throated Toucan, Ramphastos vitellinus -- Channel-billed Toucan,,"Marantz, Curtis A",2000,10,5,1806,Brazil,Pará,,Floresta Nacional de Caxiuana, Estacao Cientifica Ferreira Penna,-1.7375,-51.4555556,,Adult Unknown Sex (1),advertise, dusk song, song,Playback Self,Certain,Sound,,,2,0,432,NAGRA 4.2,Sennheiser MKH 20,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: Unseen bird was probably 15 meters away and low in dense undergrowth of good, terra firme forest along the trail at 200 meters North between Trails J and K, but closer to Trail K; presumably the same individual highlighted in cuts #2000-12-11 &amp; 13, and #2000-13-01 &amp; 05; this was recorded following playback of three songs from cut #2000-13-01, in response to which, the bird came across the trail and began singing but it moved off as I approached it; following additional playback the bird came in again; sun just went down; clear, calm, 85&iexcl;F; HHb filters off; generator rumble in background.</p>  <p class=""p1"">ML: Subject and background subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">paraensis</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67580,,,,
127444,Audio,Hylopezus paraensis,Snethlage's Antpitta,Pionites leucogaster -- White-bellied Parrot, Trogon melanurus -- Black-tailed Trogon,,"Marantz, Curtis A",2000,10,5,1721,Brazil,Pará,,Floresta Nacional de Caxiuana, Estacao Cientifica Ferreira Penna,-1.7375,-51.4555556,,Adult Unknown Sex (1),advertise, dusk song, song,Playback Self,Certain,Sound,,,3,0,874,NAGRA 4.2,Sennheiser MKH 20,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: Unseen bird was probably 20 meters away at first, but later possibly as close as 8-10 meters away, and low in dense undergrowth of good, terra firme forest along the trail at 200 meters North between Trails J and K; presumably the same individual highlighted in cuts #2000-12-11 &amp; 13, and #2000-13-01; this was recorded following playback of three songs from cut #2000-13-01, in response to which, the bird flew across the trail and began singing more frequently; clear, calm, 85&iexcl;F; HHb filters off.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">paraensis</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67580,,,,,,,,,,,
113118,Audio,Hylopezus paraensis,Snethlage's Antpitta,Brotogeris chrysoptera -- Golden-winged Parakeet, Celeus undatus -- Waved Woodpecker, Patagioenas plumbea -- Plumbeous Pigeon, Dichrozona cincta -- Banded Antbird, Melanerpes cruentatus -- Yellow-tufted Woodpecker, Psarocolius viridis -- Green Oropendola, Ramphastos tucanus -- White-throated Toucan, Tyranneutes stolzmanni -- Dwarf Tyrant-Manakin, Xiphorhynchus guttatus [eytoni Group] -- Buff-throated Woodcreeper (Dusky-billed),,"Marantz, Curtis A",1998,9,17,749,Brazil,Pará,,Floresta Nacional de Caxiuana, Estacao Cientifica Ferreira Penna,-1.7375,-51.4555556,,Unknown Age Unknown Sex (1),advertise, song,Playback Self,Certain,Sound,,,3,0,407,HHB PORTADAT PDR 1000,Sennheiser MKH 20,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: HHb filters in cut position; attenuators off on both recorder and microphone; same bird as above cut (RRN #98RDAT17-11) after playback of itself; I was now on Trail 5S (250 meters) between trails Q and R; response to playback was a slightly shorter intersong interval and minimal movement; bird appeared to be within a meter of the ground in good, terra firme forest; unseen, despite much effort.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">paraensis</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>    ML: Background subject changed from recordist's original identification of Xiphorhynchus guttatus eytoni to Xiphorhynchus guttatus [eytoni Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67580,,,,,
113117,Audio,Hylopezus paraensis,Snethlage's Antpitta,Celeus undatus -- Waved Woodpecker, Isleria hauxwelli -- Plain-throated Antwren, Psarocolius viridis -- Green Oropendola, Ramphastos tucanus -- White-throated Toucan,,"Marantz, Curtis A",1998,9,17,717,Brazil,Pará,,Floresta Nacional de Caxiuana, Estacao Cientifica Ferreira Penna,-1.7375,-51.4555556,,Unknown Age Unknown Sex (1),advertise, song,Natural,Certain,Sound,,,2,0,305,HHB PORTADAT PDR 1000,Sennheiser MKH 20,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: HHb filters in cut position; attenuators off on both recorder and microphone; likely same bird as #98RDAT16-40) Trail Q between 250 and 300 meters S of Principal Trail; bird was low (1-2 meters up) in good, terra firme forest near tree-fall gap; clear, calm, 75&iexcl;F.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">paraensis</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67580,,,,,,,,,,
113105,Audio,Hylopezus paraensis,Snethlage's Antpitta,Crypturellus variegatus -- Variegated Tinamou, Dendrocolaptes certhia -- Amazonian Barred-Woodcreeper, Pionus fuscus -- Dusky Parrot, Rhytipterna simplex -- Grayish Mourner, Xiphorhynchus guttatus [eytoni Group] -- Buff-throated Woodcreeper (Dusky-billed),,"Marantz, Curtis A",1998,9,12,1757,Brazil,Pará,,Floresta Nacional de Caxiuana, Estacao Cientifica Ferreira Penna,-1.7375,-51.4555556,,Unknown Age Unknown Sex (1),advertise, song,Natural,Certain,Sound,,,1,0,89,HHB PORTADAT PDR 1000,Sennheiser MKH 20,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: HHb filters in cut position; attenuators off on both recorder and microphone; Trail R, 100 meters S of Principal Trail; calm; sun was still in trees; unseen bird was 1+ meters up in undergrowth of good, terra firme forest.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">paraensis</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>    ML: Background subject changed from recordist's original identification of Xiphorhynchus guttatus eytoni to Xiphorhynchus guttatus [eytoni Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Grallariidae,67580,,,,,,,,,
105095,Audio,Hylopezus dives,Thicket Antpitta,,,"Macaulay, Linda R",2000,1,19,1500,Panama,Darién,,Cana,9.0,-79.0,500,,call,Playback Same Species,Certain,Sight and Sound,,,3,0,127,SONY TC-D5 PRO II,Sennheiser MKH 40,,,,,,,,," NOTES: ANCON facility in Cerro Perro National Park, at main camp, in forest just off airstrip, stays low to the ground, changes calls, this bird is split and is H. dives", Response to playback: Normal song. Response to playback: Different song.,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,,
105159,Audio,Hylopezus dives,Thicket Antpitta,,,"Macaulay, Linda R",2000,1,21,0,Panama,Darién,,Cana,9.0,-79.0,505,Unknown Age Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,2,0,57,SONY TC-D5 PRO II,Sennheiser MKH 40,,,,,,Forest,,," NOTES: ANCON facility in Cerro Perro National Park, Boca de Cupa trail, wavering trill, different vocalization, this bird is split",,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,,
100999,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Schulenberg, Thomas S",1999,10,24,0,Bolivia,Pando,,Rutina,-11.4166667,-69.1,280,Unknown Age Unknown Sex (1),,Natural,Certain,Sound,,,3,0,381,SONY TCD-D10 PRO II,,,Mono,,,,,,," NOTES: Location: several km from north bank of Rio Tahuamanu; ""San Sebastian has an extensive trail system - a grid cut at 100m. intervals over a 150 ha study area that extends in all directions from camp. Areas to N, W and S of camp are on well-drained terrace; areas to SE are lower and wetter. Bamboo occurs in small patches to NW and in more extensive areas just to the S of camp.",,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,,
91014,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Bencke, Glayson A",1996,6,9,654,Brazil,Rio Grande do Sul,,Sao Francisco De Paula, IBAMA's National Forest,-29.3833333,-50.3833333,900,,call,,Certain,Sound,,,3,0,61,SONY TCM-5000EV,Sennheiser ME 66,,Mono,,,,Forest,,, NOTES: Habitat: Dense undergrowth of humid primary Araucaria woodland,,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,,,
91034,Audio,Hylopezus ochroleucus,White-browed Antpitta,,,"Bencke, Glayson A",1996,9,23,1600,Brazil,Bahia,,Sebastiao Laranjeiras,-14.6419444,-42.9438889,550,Unknown Age Unknown Sex (1),song,Human,Certain,Sight and Sound,,,3,0,562,SONY TCM-5000EV,Sennheiser ME 66,,Mono,,,,Forest,,, NOTES: Habitat: Dense wooded caatinga ranging in canopy height from about 6-8m.  Remarks: Songs of an individual perched on or near the ground and decoyed in by imitation of its voice. First song recorded atypical and incomplete, the remainders are identical to those the bird was giving before it was whistled in. Also included are weak calls.,,,Aves,Passeriformes,Grallariidae,67640,,,,,,,,,,,,,,,
90182,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Cox, Guy ",1992,10,3,0,Bolivia,Santa Cruz,,60.0 km E of Rio Negro, Asencion,-17.85,-60.17,250,Adult Unknown Sex (1),call, scold, song,Playback Self,Certain,Sound,,,3,0,221,SONY TCM-5000EV,Sennheiser ME 80,,Mono,,,,Forest, Evergreen Forest,,Second-growth,NOTES: Breeding status: Territorial, Response to playback: Approach. Response to playback: Normal song. Response to playback: Different song.,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,
90181,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Cox, Guy ",1992,10,3,0,Bolivia,Santa Cruz,,60.0 km E of Rio Negro, Asencion,-17.85,-60.17,,Adult Unknown Sex (1),advertise, song,Natural,Certain,Sound,,,3,0,99,SONY TCM-5000EV,Sennheiser ME 80,,Mono,,,,Forest,,Second-growth,NOTES: Breeding status: Territorial,,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,
90174,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Cox, Guy ",1992,9,9,0,Bolivia,Santa Cruz,,Preservancia, Rio Negro,-14.7333333,-62.8,250,Adult Unknown Sex (1),dawn song, song,Natural,Certain,Sound,,,2,0,30,SONY TCM-5000EV,Sennheiser ME 80,,Mono,,,,Forest, River,,Second-growth, Scrub,NOTES: Breeding status: Territorial,,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,
88091,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Bencke, Glayson A",1996,4,20,1330,Brazil,Rio Grande do Sul,,Picada Verao,-29.55,-51.0166667,250,Unknown Age Unknown Sex (1),song,,Certain,Sight and Sound,,,3,0,99,SONY TCM-5000EV,Sennheiser ME 66,,Mono,,,,Forest,,,"NOTES: Remarks: Same individual recorded at 1300hr. (LNS 88090)  LNS:  Subject changed from Hylopezus ochroleucus to H. nattereri to reflect current taxonomy. -Matt Medler, 17 January 2011.",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,,,,
88090,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,Thamnophilus caerulescens -- Variable Antshrike,,"Bencke, Glayson A",1996,4,20,1300,Brazil,Rio Grande do Sul,,Picada Verao,-29.55,-51.0166667,250,Unknown Age Unknown Sex (1),call, song,,Certain,Sight and Sound,,,3,0,265,SONY TCM-5000EV,Sennheiser ME 66,,Mono,,,,Forest,,,"NOTES: Habitat: Dense undergrowth of disturbed, open-canopy primary forest.",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,,,
77999,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Finch, Davis W",1994,12,9,1030,Guyana,Upper Takutu-Upper Essequibo,,Kanuku Mountains, Maipaima Creek,,,,Adult Male (1),advertise, song,Playback Same Species,Certain,Sight and Sound,,,3,0,91,SONY TC-D5 PRO II,Sennheiser MKH 816T,,Mono,,,,Rainforest, Evergreen Forest,,,NOTES: (Species Sound: Frequent. Breeding Status: Territorial. Gen. Climate: Cyclic wet-dry. Cover Densityi: Medium.), Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,
74126,Audio,Hylopezus dives,Thicket Antpitta,,,"Ross, Jr., David L",1988,3,8,1130,Costa Rica,Heredia,,Rara Avis,10.28173,-84.04489,,,advertise, song,,Certain,Sound,,,3,0,228,MARANTZ PMD 221,Sennheiser ME 88,,Mono,,,,Rainforest, Evergreen Forest,,,NOTES: (Sound Delivery Rate: High,  General Climate: Wet,  Cover Den: thick),,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,
74106,Audio,Hylopezus dives,Thicket Antpitta,,,"Ross, Jr., David L",1988,3,5,927,Costa Rica,Heredia,,Rara Avis,10.28173,-84.04489,,Unknown Age Unknown Sex (1),advertise,Playback Self,Not Provided,Sight,,,3,0,661,MARANTZ PMD 221,Sennheiser ME 88,,Mono,,,,Rainforest, Evergreen Forest,,,NOTES: (Breeding Status: Territorial,  Sound Delivery Rate: High,  General Climate: Wet), Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,
74202,Audio,Hylopezus dives,Thicket Antpitta,,,"Ross, Jr., David L",1988,3,27,1330,Costa Rica,Heredia,,Rara Avis,10.28173,-84.04489,700,Unknown Age Unknown Sex (1),advertise, song,,Not Provided,,,,2,0,87,MARANTZ PMD 221,Sennheiser ME 88,,Mono,,,,Rainforest,,," NOTES: (General Climate: Wet) LNS:  Subject changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 10 March 2010.",,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,
73453,Audio,Hylopezus perspicillatus lizanoi,Streak-chested Antpitta (Pacific Slope),,,"Ross, Jr., David L",1988,1,21,0,Costa Rica,Puntarenas,,Corcovado National Park, Sirena Field Station,8.48025,-83.5893389,15,Unknown Age Unknown Sex (1),advertise, song,Natural,Certain,,,,3,0,670,MARANTZ PMD 221,Sennheiser ME 88,,Mono,,,,Rainforest, Evergreen Forest,,,NOTES: (General Climate: Cyclic Wet-Dry,  Season: Wet,  Cover Den: med),,,Aves,Passeriformes,Grallariidae,67540,,,,,,,,,,,
72619,Audio,Hylopezus dives,Thicket Antpitta,,,"Ross, Jr., David L",1991,2,27,0,Costa Rica,Heredia,,La Selva Biological Station,10.4288,-84.0128,,Unknown Age Unknown Sex (1),song,Natural,Certain,,,,3,0,98,MARANTZ PMD 430,Sennheiser ME 20,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest,,Second-growth," NOTES: (General Climate: Wet;  Cover Den: thick) LNS:  The subject of this recording was changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 3 March 2010.",,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,,
72620,Audio,Hylopezus dives,Thicket Antpitta,,,"Ross, Jr., David L",1991,2,27,0,Costa Rica,Heredia,,La Selva Biological Station,10.4288,-84.0128,,Unknown Age Unknown Sex (1),song,Playback Self,Certain,,,,2,0,151,MARANTZ PMD 430,Sennheiser ME 20,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest, Evergreen Forest,,," NOTES: (Sound Delivery Rate: High;  General Climate: Wet) LNS:  The subject of this recording was changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 3 March 2010.",Same subject(s) as LNS 72619.  Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,
51704,Audio,Hylopezus dives,Thicket Antpitta,,,"Coopmans, Paul ",1990,4,13,705,Costa Rica,Cartago,,River Valley - Caribbean Slope, Rancho Naturalista - Tuis,,,800,Unknown Age Unknown Sex (1),call,Natural,Certain,Sight,,,3,0,44,MARANTZ UNSPECIFIED CASSETTE MODEL,Sennheiser ME 80,,Mono,,,,,,Second-growth, Edge," NOTES: LNS:  Subject changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 10 March 2010.", Response to playback: No response.,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,
47983,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Isler, Phyllis R",1989,10,23,0,Brazil,Rio de Janeiro,,Itatiaia National Park,,,,Unknown Age Unknown Sex (1),song,Natural, Playback Self,Uncertain,Sound,,,3,0,69,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,Forest,,,"NOTES: (Gen. Climate: Humid.)  LNS:  Subject changed from Hylopezus ochroleucus to H. nattereri to reflect current taxonomy. -Matt Medler, 17 January 2011.",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,,,,
47717,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Isler, Phyllis R",1987,9,14,1000,Peru,Madre de Dios,,Tambopata National Reserve,-12.6666667,-69.25,260,Adult Female (1), Adult Male (1),song,Playback Same Species,Certain,Sound,,,2,0,38,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,Rainforest,,Second-growth, NOTES: (General Climate: Humid. Cover Density: Thick.),,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,
48030,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Isler, Phyllis R",1989,10,30,0,Brazil,Mato Grosso,,20.0 km N of Alta Floresta,,,,Unknown Age Unknown Sex (1),call,,Not Provided,Sound,,,1,0,25,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,,,," NOTES: (Gen. Climate: Humid.) Recordist's Tape #16a, cut #1203.",,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,,
40466,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),Amazona sp. -- Amazona sp., Cercomacra cinerascens -- Gray Antbird, Formicarius colma -- Rufous-capped Antthrush, Lipaugus vociferans -- Screaming Piha, Myrmoderus ferrugineus -- Ferruginous-backed Antbird,,"Coopmans, Paul ",1988,3,19,500,Venezuela,,,Rio Grande  (sierra De Imabaca),8.0,-61.6666667,200,Unknown Age Unknown Sex (1),song,Natural, Playback Self,Certain,Sight and Sound,,,3,0,108,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,Rainforest, Evergreen Forest,,, NOTES: Strata in Habitat: song perch Response to Playback: changed song perch, Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,
40235,Audio,Myrmothera campanisona subcanescens,Thrush-like Antpitta (Tapajos),,,"Schulenberg, Thomas S",1986,10,10,1600,Brazil,Rondônia,,Cachoeira Nazaré, W bank Rio Jiparaná,-9.7333333,-61.8833333,100,Adult Unknown Sex (1),advertise, song,Natural, Playback Self,Certain,Sight and Sound,,,3,0,675,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,Rainforest, Evergreen Forest,,, NOTES: (Time: 1600-1620, General Climate: humid, Cover Density: thick, Edited: Apr88)., Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67680,,,,,,,,,
40236,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,,,"Schulenberg, Thomas S",1986,10,12,730,Brazil,Rondônia,,Cachoeira Nazaré, W bank Rio Jiparaná,-9.7333333,-61.8833333,100,Adult Unknown Sex (1),advertise, song,Natural, Playback Self,Certain,Sight and Sound,,,2,0,517,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,Rainforest, Evergreen Forest,,,ML: Subject changed from Hylopezus macularius to H. whittakeri by request of the recordist. -Jay McGowan 14Oct2014.,,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,,,,,
34472,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Parker, III, Theodore A",1985,2,23,1835,Venezuela,,,Campamento Rio Grande,7.97,-61.88,,,advertise, call, song,Playback Self,Certain,Sight,,,3,0,171,NAGRA IV-B,Electro-Voice DL42,,Mono,,,,Rainforest, Evergreen Forest,,,, Number of individuals=AU1-2,  Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,
28157,Audio,Hylopezus perspicillatus intermedius,Streak-chested Antpitta (Atlantic Slope),Patagioenas nigrirostris -- Short-billed Pigeon, Monasa morphoeus -- White-fronted Nunbird,,"van den Berg, Arnoud B",1981,5,27,850,Costa Rica,Heredia,,La Selva Biological Station,10.4288,-84.0128,,Adult Unknown Sex (1),advertise, song,Natural, Playback Self,Not Provided,Sight and Sound,,,3,0,97,SONY TC-150,,Parabola 45.7cm (18in),Mono,,,,Rainforest, Evergreen Forest,,, NOTES: (Breeding Status:  Territorial,  General Climate: Wet, Cover Den: Thick)   , Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67530,,,,,,,,,,
26399,Audio,Hylopezus dives,Thicket Antpitta,Baryphthengus martii -- Rufous Motmot, Cacicus sp. -- cacique sp., Melanerpes sp. -- Melanerpes sp., Ramphastos sulfuratus -- Keel-billed Toucan, Troglodytidae sp. -- wren sp., Trogon massena -- Slaty-tailed Trogon,,"van den Berg, Arnoud B",1981,6,1,730,Costa Rica,Heredia,,La Selva Biological Station,10.4288,-84.0128,,Adult Unknown Sex (1),advertise, song,Natural, Playback Self,Not Provided,Sight and Sound,,,3,0,148,SONY TC-150,,Parabola 45.7cm (18in),Mono,,,,Rainforest, Evergreen Forest,,," NOTES: (Breeding Status:  Territorial Solitary;  General Climate:  Wet; Cover Den: Thick) LNS:  Subject changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 10 March 2010.", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,
25894,Audio,Hylopezus dives,Thicket Antpitta,Baryphthengus martii -- Rufous Motmot, Electron platyrhynchum -- Broad-billed Motmot, Legatus leucophaius -- Piratic Flycatcher, Synallaxis brachyura -- Slaty Spinetail,,"Parker, III, Theodore A",1982,2,13,0,Panama,Darién,,Cana,,,650,,advertise, song,Natural,Certain,Sound,,,3,0,117,NAGRA IV-B,Electro-Voice DL42,,Mono,,,,Rainforest,,Edge," NOTES: (No. of Animals/Sex: 1 adult, 1 unknown age, unknown sex. Breeding Status: Territorial. Gen. Climate: Humid. Cover Density: Thick.) LNS:  Subject changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 10 March 2010.",,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,
25907,Audio,Hylopezus perspicillatus perspicillatus,Streak-chested Antpitta (Eastern Panama),Cebus,,"Parker, III, Theodore A",1982,2,13,0,Panama,Darién,,Cana,,,650,Adult Unknown Sex (1),advertise, song,Natural,Uncertain,Sound,,,2,0,98,NAGRA IV-B,Electro-Voice DL42,,Mono,,,,Rainforest,,, NOTES: (Gen. Climate: Humid. Cover Density: Thick.) Very distant songs.,,,Aves,Passeriformes,Grallariidae,67520,,,,,,,,,,,,,,,
23775,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,Basileuterus culicivorus -- Golden-crowned Warbler, Chamaeza ruficauda -- Rufous-tailed Antthrush,,"Parker, III, Theodore A",1980,11,15,0,Brazil,Rio de Janeiro,,Itatiaia National Park,,,1675,Adult Unknown Sex (1),advertise, song,Natural, Playback Self,Certain,Sight,,,3,0,176,NAGRA IV-B,,,Mono,,,,Forest, Montane Grassland,,,"NOTES:  Breeding status: TERRITORIAL UNKNOWN;  Frequency of sound: NORMAL;  General climate: HUMID;  Cover density: THICK;   1 ADULT(S); MALE(S)?  LNS:  Subject changed from Hylopezus ochroleucus to H. nattereri to reflect current taxonomy. -Matt Medler, 17 January 2011.", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,
